A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,0_RfR 0,0_RfR 1,1_RfR 0,1_RfR 1,2_RfR 0,2_RfR 1,3_RfR 0,3_RfR 1,4_RfR 0,4_RfR 1,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.5_DikeIncrease 0,A.5_DikeIncrease 1,scenario,policy,model,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
95.0,220.9375,1.0,0.1767578125,279.6875,1.0,0.5458984375,157.8125,1.0,0.5693359375,217.1875,1.5,0.6611328125,312.8125,1.5,0.8701171875,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,Policy 0,dikesnet,2103041613.354545,0,0.0,0.0,1.086091816262442
95.0,220.9375,1.0,0.1767578125,279.6875,1.0,0.0830078125,157.8125,1.0,0.5693359375,217.1875,1.5,0.6611328125,312.8125,1.5,0.8701171875,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,Policy 0,dikesnet,2169800049.8031535,0,0.0,0.0,1.1297806034597
95.0,220.9375,1.0,0.1767578125,279.6875,1.0,0.5458984375,160.3125,1.0,0.5693359375,217.1875,1.5,0.6611328125,312.8125,1.5,0.8701171875,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,Policy 0,dikesnet,2103041613.354545,0,0.0,0.0,1.086091816262442
95.0,220.9375,1.0,0.1767578125,279.6875,1.0,0.5458984375,157.8125,1.5,0.5693359375,217.1875,1.5,0.6611328125,312.8125,1.5,0.8701171875,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,Policy 0,dikesnet,2103041613.354545,0,0.0,0.0,1.086091816262442
95.0,220.9375,1.0,0.1767578125,279.6875,1.0,0.5458984375,157.8125,1.0,0.4794921875,217.1875,1.5,0.6611328125,312.8125,1.5,0.8701171875,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,Policy 0,dikesnet,2103041613.354545,0,0.0,0.0,1.086091816262442
95.0,220.9375,1.0,0.1767578125,279.6875,1.0,0.5458984375,157.8125,1.0,0.5693359375,209.0625,1.5,0.6611328125,312.8125,1.5,0.8701171875,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,Policy 0,dikesnet,2103041613.354545,0,0.0,0.0,1.086091816262442
95.0,220.9375,1.0,0.1767578125,279.6875,1.0,0.5458984375,157.8125,1.0,0.5693359375,217.1875,1.5,0.6611328125,312.8125,1.5,0.8701171875,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Policy 0,dikesnet,2103041613.354545,0,0.0,0.0,1.086091816262442
95.0,220.9375,1.0,0.1767578125,279.6875,1.0,0.5458984375,157.8125,1.0,0.5693359375,217.1875,1.5,0.6474609375,312.8125,1.5,0.8701171875,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,Policy 0,dikesnet,2103041613.354545,0,0.0,0.0,1.086091816262442
95.0,220.9375,1.0,0.1767578125,279.6875,1.0,0.5458984375,157.8125,1.0,0.5693359375,217.1875,1.5,0.6611328125,236.5625,1.5,0.8701171875,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,Policy 0,dikesnet,2103041613.354545,0,0.0,0.0,1.086091816262442
95.0,220.9375,1.0,0.1767578125,279.6875,1.0,0.5458984375,157.8125,1.0,0.5693359375,217.1875,1.5,0.6611328125,312.8125,1.5,0.8701171875,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,Policy 0,dikesnet,2103041613.354545,0,0.0,0.0,1.086091816262442
95.0,220.9375,1.0,0.1767578125,279.6875,1.0,0.5458984375,157.8125,1.0,0.5693359375,217.1875,1.5,0.6611328125,312.8125,1.5,0.0927734375,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,Policy 0,dikesnet,2116750479.4944527,0,0.0,0.0,1.0953659565746283
