A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,A.1_Expected Annual Damage,A.2_Expected Annual Damage,A.3_Expected Annual Damage,A.4_Expected Annual Damage,A.5_Expected Annual Damage,A.1_Expected number of deaths,A.2_Expected number of deaths,A.3_Expected number of deaths,A.4_Expected number of deaths,A.5_Expected number of deaths
121.0,138.30450997997826,10,0.6481556904448653,54.878400514777304,1.0,0.6300669505421259,282.5880086978262,10,0.36118533523245144,107.97957039703138,1.0,0.15632295721932496,131.73307045408168,1.5,0.6660603394190187,2.5,4.5,3.5,16373366.821922638,13178266.618338462,139494020.31394246,28280383.75643096,0.0,0.04220955716247139,0.045209378245464706,0.8749885959658036,0.044425218841753426,0.0
22.0,189.71740202203188,10,0.45178443065782437,207.715995198743,10,0.6213246299838566,75.7243848875031,1.0,0.4221692572158453,165.71498063874486,1.0,0.32652844909406886,102.67477747811868,1.0,0.41825383280995093,3.5,3.5,1.5,149376774.51248202,1318103.8595409794,104598325.93011859,13697695.271556154,0.0,0.31141594651701604,0.0037452914674647453,0.5539282218679131,0.018904776488454712,0.0
57.0,337.5419044028819,1.0,0.25532829564373527,110.13659348616072,1.5,0.06322596416757047,254.6426833476393,1.5,0.3332655714604489,293.5849099067665,1.5,0.617770125924669,177.64190339001172,1.5,0.48597635548976703,4.5,4.5,1.5,813115539.8723427,43561584.02332616,0.0,0.0,0.0,1.790626850668324,0.11738894158174748,0.0,0.0,0.0
30.0,108.97189645921412,1.0,0.20577211463921696,250.80149877842604,10,0.6629647913413298,120.4741043376378,1.0,0.9064692091147882,222.2792452048789,10,0.824870603377181,142.50898587155194,1.5,0.6357346396789202,4.5,3.5,4.5,661546327.4141806,0.0,0.0,0.0,1067522.2672417872,1.8068292700558848,0.0,0.0,0.0,0.004052867211258985
106.0,55.57328164753136,10,0.7966261051068854,128.58447080258358,10,0.865159081850158,169.4210438035371,1.5,0.5790172043125603,314.9348025414385,10,0.06420254970415983,95.65269228713723,10,0.33429198859786663,1.5,2.5,4.5,3044611.774315036,5531759.352479747,44624528.005966015,51603061.81123249,0.0,0.006604852289561645,0.016293453260711434,0.23887432754150928,0.06642697864857508,0.0
107.0,100.83888526005107,1.0,0.30335135092730414,30.794687351530957,1.5,0.7285031933212446,206.5970047681367,10,0.8991201100786393,337.42087410690095,1.5,0.7371859778269345,35.206288168963724,10,0.25432014621452853,4.5,2.5,4.5,719021151.551743,0.0,0.0,0.0,27151790.76740957,1.78656248152032,0.0,0.0,0.0,0.0916207457882547
59.0,335.23267661250577,10,0.7874232526645533,347.94563093459624,10,0.8821776156326722,220.04332505543857,10,0.7730876066717312,346.36875048193855,10,0.9290661960444196,202.04287698258608,10,0.3587685836994405,4.5,1.5,3.5,2837896.110172121,5147280.393942227,21039008.803365886,0.0,72787021.97192957,0.006613257789828313,0.01627440710484402,0.1223017520195473,0.0,0.21026938268866932
114.0,139.73589229788956,1.0,0.5399187810157503,289.3257438705222,1.5,0.8110265209316628,298.0046753942244,1.5,0.4408410936363483,268.4371109368631,1.0,0.8981957213787938,198.2188172419348,1.0,0.17044105512566332,3.5,2.5,2.5,56552172.0629671,5072780.6520906575,75339582.97790748,0.0,140678917.08123094,0.12495871011022817,0.015294245555274286,0.4179851553006042,0.0,0.38791288270048396
115.0,125.27939198838021,1.5,0.8515331687181162,167.40485000826024,10,0.03800286244336588,91.06872213781718,10,0.7795685145816648,129.5376326670024,10,0.8659866382952436,131.24230749245424,1.5,0.11832419112588861,2.5,2.5,2.5,0.0,320054589.87672555,0.0,0.0,0.0,0.0,0.7907348140126942,0.0,0.0,0.0
48.0,153.085689665897,10,0.5572271907679727,49.711500568443654,1.0,0.6363522458499803,195.7729944201702,1.5,0.6568142218288747,44.64488201816977,1.0,0.6626811663265353,127.10212097811073,10,0.9853039185244253,1.5,1.5,1.5,51130087.27925943,13456358.497836892,8150725.22878359,1161886.5304584554,0.0,0.08139444053690723,0.028766383418537857,0.03345135972660193,0.0013881756637908335,0.0
122.0,320.9925126583162,1.0,0.38513767005449046,242.56793897075158,1.0,0.103347277334404,146.1551827774274,10,0.8236915142437414,271.8740513792908,10,0.23163308964803914,110.87494141876462,1.0,0.9045820169513002,2.5,3.5,1.5,399064655.5074266,257357993.7265258,0.0,2169860.279723987,0.0,0.7577491355391303,0.6175093840027981,0.0,0.002672924859740136,0.0
67.0,328.20566166211233,1.0,0.7727859117647019,87.77455781046166,10,0.9474346702926975,288.3560691118119,10,0.6957713972768348,62.973979295972924,10,0.9489860799764915,206.4462206834858,1.5,0.78116795455187,3.5,3.5,4.5,2321873.9899281845,4204500.821615436,17295903.366454963,0.0,3703926.8049536506,0.006616218418146471,0.016236626912128842,0.12343010253712101,0.0,0.013300664482695405
39.0,90.5094385148143,1.0,0.09882843293847604,262.17100616510317,10,0.6002533068475049,194.3992118944197,1.0,0.10237704521281096,128.0112778681373,10,0.7408687888518974,147.7348732052365,10,0.4896494137451621,1.5,4.5,1.5,1011912419.1982814,813550.6509855606,539901364.0471405,0.0,0.0,1.7856130691058414,0.002056486237415834,2.386827302546082,0.0,0.0
59.0,109.18855588061356,10,0.686667154735295,130.6245823819729,1.0,0.18571785635238205,249.24356671596792,10,0.9226579166086231,336.1131740682282,10,0.2949001061425463,276.76413808575404,1.0,0.4116348266937632,4.5,2.5,3.5,16459329.256619822,109920961.3729575,0.0,2820506.457368036,0.0,0.04246815201498534,0.35161167558736073,0.0,0.004505361223869146,0.0
7.0,89.15871746757969,1.5,0.5410192643005661,317.41435171480344,10,0.13105988856101033,344.491336413705,1.0,0.7622544530702499,287.9331202186431,1.5,0.25127791085666334,87.40281708371685,1.5,0.2356428730220806,2.5,1.5,3.5,63246803.75882885,269972602.4390299,0.0,967141.761757371,0.0,0.12660000961220105,0.6632343657882072,0.0,0.001190303699934663,0.0
